filename,extracted_name,extracted_description,extracted_price_per_unit,extracted_quantity_selected,extracted_total_cost,extracted_energy,extracted_health,gt_name,gt_description,gt_price_per_unit,gt_quantity_selected,gt_total_cost,gt_energy,gt_health
1_pierres_top.jpg,Parsnip Seeds,Plant these in the spring. Takes 4 days to mature. -,20,60,1200,,,Parsnip Seeds,"Plant these in the spring. Takes 4 days to mature,",20,60,1200,,
IMG_7708.jpg,Bean Storter,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis.",90,1,90,,,Bean Starter,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis.",90,1,90,,
IMG_7709.jpg,Jazz Seeds,Plant in spring. Takes 7 days to produce a blue puffball flower. -,45,1,45,,,Jazz Seeds,Plant in spring. Takes 7 days to produce a blue puffball flower.,45,1,45,,
IMG_7710.jpg,Tulip Bulb,"Plant in spring. Takes 6 days to produce a colorful flower, Assorted colors. -",30,1,30,,,Tulip Bulb,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.,30,1,30,,
IMG_7711.jpg,Couliflower Seeds,Plant these in the spring. Takes 12 days to produce a large cauliflower.,120,1,120,,,Cauliflower Seeds,Plant these in the spring. Takes 12 days to produce a large cauliflower.,120,1,120,,
IMG_7712.jpg,Poppy Seeds,Plant in summer. Produces α. bright red flower in 7 days.,100,1,100,,,Poppy Seeds,Plant in summer. Produces a bright red flower in 7 days.,100,1,100,,
IMG_7713.jpg,Pepper Seeds,"Plant these in the summer. Takes 5 days to mature, and continues to produce after first harvest.",40,1,40,,,Pepper Seeds,"Plant these in summer. Takes 5 days to mature, and continues to produce after first harvest.",40,1,40,,
IMG_7714.jpg,Melon Seeds,Plant these in the summer. Takes 12 days to mature.,80,1,80,,,Melon Seeds,Plant these in the summer. Takes 12 days to mature.,80,1,80,,
IMG_7715.jpg,Pumpkin Seeds,Plant these in the fall. Takes 13 days to mature.,150,1,150,,,Pumpkin Seeds,Plant these in the fall. Takes 13 days to mature.,150,1,150,,
IMG_7716.jpg,Eggplant Seeds,"Plant t these in the fall. Takes 5 days to mature, and continues to produce after first harvest.",30,1,30,,,Eggplant Seeds,Plant these in the fall. Takes 5 days to mature and continues to produce after first harvest,30,1,30,,
IMG_7717.jpg,Cranberry Seeds,"Plant these in the fall. Takes 7 days to mature, and continues to produce after first harvest. -",360,1,360,,,Cranberry Seeds,Plant these in the fall. Takes 7 days to mature and continues to produce after first harvest.,360,1,360,,
IMG_7718.jpg,Wheat Flour,A common cooking ingredient made from crushed wheat seeds.,100,1,100,+13,+5,Wheat Flour,A common cooking ingredient made from crushed wheat seeds.,100,1,100,+13,+5
IMG_7719.jpg,Grass Storter,Place this on your farm to start a new patch of grass.,100,1,100,,,Grass Starter,Place this on your farm to start a new patch of grass.,100,1,100,,
IMG_7720.jpg,,purpose cooking oil. 6H,200,1,200,+13,+5,Oil,All purpose cooking oil.,200,1,200,+13,+5
IMG_7721.jpg,Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,,Speed-Gro,Stimulates lead production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,
IMG_7722.jpg,Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,,Speed-Gro,Stimulates lead production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,
IMG_7723.jpg,Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,,Speed-Gro,Stimulates lead production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,100,1,100,,
IMG_7728.jpg,Bean Storter,"Plant these in the spring. Takes 10 days to mature, but keeps producing after that. Grows on a trellis.",90,890,80100,,,Bean Starter,"Plant these in the spring. Takes 10 days to mature, but keeps growing after that. Grows on trellis.",90,890,80100,,
IMG_7729.jpg,Jazz Seeds,Plant in spring. Takes 7 days to produce a blue puffball flower.,450,470,21150,,,Jazz Seeds,Plant in spring. Takes 7 days to produce a blue puffball flower.,45,470,21150,,
IMG_7730.jpg,Tulip Bulb,"Plant in spring. Takes 6 days to produce a colorful flower, Assorted colors.",30,120,3600,,,Tulip Bulb,Plant in spring. Takes 6 days to produce a colorful flower. Assorted colors.,30,120,3600,,
IMG_7731.jpg,Melon Seeds,Plant these in the summer. Takes 12 days to mature.,80,999,79920,,,Melon Seeds,Plant these in the summer. Takes 12 days to mature.,80,999,79920,,
IMG_7732.jpg,Pomegranate Sapling,"Takes 28 days s to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty.",6000,255,1530000,,,Pomegranate Sapling,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty.",6000,255,1530000,,
